Run dir: nn_models/M_blend17k_256_128_64
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache HIT: blend_nnforward_10k/encoded_v2.npz
  cache HIT: blend_nnforward_10k_b/encoded_v2.npz
Chunked build: train=2617358 val=335418 test=330200 | dtype=float16 | use_cache=True | target_mode=margin target_std=13.736

Model: 85,889 parameters
  arch: [256, 128, 64] / gelu / norm=layer / dropout=0.2 / head=linear

epoch |  train_mse | train_mae(p) |   val_mse | val_mae(p) | best | pat | time(s)
-----------------------------------------------------------------------------------------------
    1 |     0.4807 |         6.73 |    0.4461 |       6.48 |  *   |   0 |    48.6
    2 |     0.4432 |         6.43 |    0.4367 |       6.43 |  *   |   0 |    45.2
    3 |     0.4312 |         6.33 |    0.4323 |       6.38 |  *   |   0 |    42.5
    4 |     0.4228 |         6.26 |    0.4343 |       6.38 |      |   1 |    54.5
    5 |     0.4168 |         6.22 |    0.4312 |       6.38 |  *   |   0 |    41.7
    6 |     0.4126 |         6.18 |    0.4274 |       6.35 |  *   |   0 |    41.4
    7 |     0.4088 |         6.15 |    0.4269 |       6.33 |  *   |   0 |    41.5
    8 |     0.4062 |         6.13 |    0.4242 |       6.34 |  *   |   0 |    44.1
    9 |     0.4036 |         6.11 |    0.4246 |       6.32 |      |   1 |    47.4
   10 |     0.4011 |         6.09 |    0.4267 |       6.35 |      |   2 |    45.6
   11 |     0.3994 |         6.08 |    0.4226 |       6.34 |  *   |   0 |    39.4
   12 |     0.3979 |         6.07 |    0.4247 |       6.33 |      |   1 |    38.2
   13 |     0.3963 |         6.05 |    0.4230 |       6.32 |      |   2 |    38.1
   14 |     0.3950 |         6.04 |    0.4241 |       6.33 |      |   3 |    38.0
   15 |     0.3936 |         6.03 |    0.4234 |       6.32 |      |   4 |    41.6
   16 |     0.3927 |         6.02 |    0.4249 |       6.33 |      |   5 |    46.6
   17 |     0.3913 |         6.01 |    0.4246 |       6.33 |      |   6 |    48.8
   18 |     0.3904 |         6.01 |    0.4236 |       6.33 |      |   7 |    42.5
   19 |     0.3895 |         6.00 |    0.4228 |       6.34 |      |   8 |    39.8
   20 |     0.3885 |         5.99 |    0.4243 |       6.33 |      |   9 |    42.6
   21 |     0.3877 |         5.99 |    0.4234 |       6.33 |      |  10 |    45.7
   22 |     0.3875 |         5.98 |    0.4238 |       6.33 |      |  11 |    43.3
   23 |     0.3865 |         5.98 |    0.4239 |       6.33 |      |  12 |    39.4
   24 |     0.3858 |         5.97 |    0.4232 |       6.31 |      |  13 |    38.7
   25 |     0.3852 |         5.96 |    0.4236 |       6.32 |      |  14 |    38.6
   26 |     0.3846 |         5.96 |    0.4227 |       6.32 |      |  15 |    38.9
   27 |     0.3840 |         5.96 |    0.4244 |       6.33 |      |  16 |    40.4
   28 |     0.3834 |         5.95 |    0.4223 |       6.33 |  *   |   0 |    43.4
   29 |     0.3833 |         5.95 |    0.4239 |       6.31 |      |   1 |    46.7
   30 |     0.3828 |         5.95 |    0.4237 |       6.32 |      |   2 |    47.4
   31 |     0.3820 |         5.94 |    0.4244 |       6.33 |      |   3 |    38.2
   32 |     0.3817 |         5.94 |    0.4242 |       6.33 |      |   4 |    46.7
   33 |     0.3812 |         5.93 |    0.4244 |       6.34 |      |   5 |    41.2
   34 |     0.3807 |         5.93 |    0.4241 |       6.33 |      |   6 |    43.1
   35 |     0.3805 |         5.93 |    0.4235 |       6.34 |      |   7 |    41.3
   36 |     0.3799 |         5.92 |    0.4239 |       6.32 |      |   8 |    41.9
   37 |     0.3800 |         5.92 |    0.4222 |       6.31 |  *   |   0 |    41.6
   38 |     0.3794 |         5.92 |    0.4248 |       6.33 |      |   1 |    46.9
   39 |     0.3791 |         5.92 |    0.4226 |       6.31 |      |   2 |    46.2
   40 |     0.3788 |         5.92 |    0.4250 |       6.34 |      |   3 |    43.9
   41 |     0.3783 |         5.91 |    0.4233 |       6.32 |      |   4 |    45.1
   42 |     0.3781 |         5.91 |    0.4231 |       6.32 |      |   5 |    63.9
   43 |     0.3782 |         5.91 |    0.4221 |       6.31 |  *   |   0 |    44.4
   44 |     0.3776 |         5.91 |    0.4225 |       6.32 |      |   1 |    49.2
   45 |     0.3773 |         5.90 |    0.4257 |       6.35 |      |   2 |    52.9
   46 |     0.3771 |         5.90 |    0.4253 |       6.33 |      |   3 |    66.2
   47 |     0.3767 |         5.90 |    0.4241 |       6.32 |      |   4 |    59.3
   48 |     0.3767 |         5.90 |    0.4255 |       6.34 |      |   5 |    46.2
   49 |     0.3763 |         5.90 |    0.4230 |       6.32 |      |   6 |    39.9
   50 |     0.3762 |         5.90 |    0.4264 |       6.35 |      |   7 |    38.9
